"TYPE","value","hash"
"WBNB_SWAP_OUT","0.080496508234980237","0xfe470f81f7da184cba3c1fd262c177a68dca119bb4ad67647c9e2b6a8660a892"
"",0,"0x37fef97ccdcb0af25953bf8148d9bf9be5e090646a0543df3ff2549d1651e477"
"WBNB_SWAP_OUT","0.079663215880346712","0x3a779dc7b412e87f2d6e0b9c3420b0d4ce49635219454834f43a97e093bdb6f2"
"WBNB_SWAP_IN","0.006292","0x08084c37d59567a5272b2efcc830d5592e1f48aa291b1193c8fd4f1457663ed8"
"",0,"0xc27124027fb68d1efeeb0c579a33cf414e18f3b1bc626bcb08e4319b482c7e9f"
"WBNB_SWAP_OUT","0.064272794383572958","0xc32bb7bd639a7a0e0f05cb83ee52fe80bf3b80d1fe8d67da0c528ca8ed9a2987"
"",0,"0x44e5fa35debc26b13096619aad806314146287f4da7bc927d1529c081db1c1a3"
"",0,"0xee44e0851478609433802b0130d0657d388b5ea85944dbcc710979415c9a1baa"
"",0,"0x5c517ed1653122cc73d2695bf19a76e7a5c5a7385cbf37903ce3c3b92d178b49"
"",0,"0x49e437c4f282f366e1966ec6f5bd6f9cc2e92c1aa0dd38be97e7d03fe72117d9"
"",0,"0x0e67975c27223fd60adda33c3dfa13a8dd416fc796e597470039ee0e08ec8987"
"",0,"0x4bbd761fafd812cb446a194747ba3250eb78fa42e4500b8bb6b2dd3a8847311a"
"",0,"0x4ba25e3053e751c87668d053ff262a621207b94221066e87422650ae8ef5dcc6"
"WBNB_SWAP_IN","0.02010171","0x528397abb485c4606733de97e2306aba1fd6c38e586acd080cdcad0852498288"
"",0,"0x209dc0f08b4375a157d00b45f1839858418ced47ba7a4826249c40796defd7ab"
"WBNB_SWAP_IN","0.003","0xdc2bfa5db72d8cbf82e7ce0f674fdd819c1d08cd75e43863656ccc0c9547b71f"
"BUSD_SWAP_IN","13.256964193250453457","0x2f464076be6c34ecb642a6ac04c5f54bdbcf6caa938afdc822dd33e63a4f0b8b"
"",0,"0xb891bc4a5d60150002bcf156f516017c0f25b83a46d089bdaaa17f94ab7994fb"
"",0,"0xe34bfa4a0175badff109068b6c3085586a134b1eb7ea257e7aa580dad6e19b07"
