"TYPE","value","hash"
"BUSD_SWAP_OUT","200.97646014360241129","0x60ad1a4cd63e94e2d05f0f74f576fc514cbe99b5b27471044cd77e0269236ace"
"BUSD_SWAP_IN","177","0xe02d1afbb0510cf7def4ff64bd9fb111cd0d10cf3fa8e1232096dc15a1f391d5"
"BUSD_SWAP_OUT","155.624873721654325243","0xe6af252982fc8947ecb3aabc8e2ad95966fb9c00ad548ecc06da5ecbfef39298"
"BUSD_SWAP_IN","151.34359","0xff1e370a518e3b5aa41dd6006447346c39d7f3c9ae758497c4842e23130a9fc9"
"BUSD_SWAP_OUT","86.398198341763145898","0x70aa655dfff6e088cc0c3d4703b8172e1d9e1fac43849239d104ad7e4fe39cb7"
"BUSD_SWAP_IN","57.17601","0xfea54cbed62726a1dea0116a0dfa07547d7b490e29cfbeb41c60bdb80213ea88"
"BUSD_SWAP_OUT","112.534271750207220471","0xe9f7ae497c4b15d109947841abda70fbec044f345b8ca49d5f2784e55878c3fd"
"BUSD_SWAP_IN","70.16786","0x1fa6b086ba2e833e331bfddc23a35123f00a352abb6ee731c191c5c5c839c674"
"BUSD_SWAP_OUT","63.257247967191675614","0xba43eb0596bd67cab24ad6ba4bcf79d265723372ad945dfd3a8a5717329f233d"
"BUSD_SWAP_IN","104.80295","0xc9db596df585635e97f1a136944fbd7b0cb459f77a5721e8176a01ed3f48e316"
"BUSD_SWAP_OUT","94.980626074306414733","0x557cf34cccda2d0ae3a377ae6939d04bf1534b346568215d2da605400d195afa"
"BUSD_SWAP_IN","98.16724","0x65d3a5948da50a204659bd2a90889821445a0f524a5528dcbc66d77437d05fb9"
